age	prescript	astigmatic	tearRate	contact-lenses
young	myope	no	reduced	none
young	myope	no	normal	soft
young	myope	yes	reduced	none
young	myope	yes	normal	hard
young	hyper	no	reduced	none
young	hyper	no	normal	soft
young	hyper	yes	reduced	none
young	hyper	yes	normal	hard
pre	myope	no	reduced	none
pre	myope	no	normal	soft
pre	myope	yes	reduced	none
pre	myope	yes	normal	hard
pre	hyper	no	reduced	none
pre	hyper	no	normal	soft
pre	hyper	yes	reduced	none
pre	hyper	yes	normal	none
presbyopic	myope	no	reduced	none
presbyopic	myope	no	normal	none
presbyopic	myope	yes	reduced	none
presbyopic	myope	yes	normal	hard
presbyopic	hyper	no	reduced	none
presbyopic	hyper	no	normal	soft
presbyopic	hyper	yes	reduced	none
presbyopic	hyper	yes	normal	none
